ENTIDAD,FECHA
SONORA,3/18/2012
ESTADO DE MEXICO,2/5/2007
ESTADO DE MEXICO,3/14/2009
ESTADO DE MEXICO,12/23/2006
ESTADO DE MEXICO,1/11/2008
ESTADO DE MEXICO,5/27/2012
CHIHUAHUA,7/5/2010
ESTADO DE MEXICO,6/13/2011
ESTADO DE MEXICO,4/24/2010
TLAXCALA,2/9/2009
COLIMA,12/27/2011
COLIMA,1/27/2012
COLIMA,1/27/2012
COLIMA,2/7/2012
COLIMA,4/29/2012
COLIMA,2/15/2012
COLIMA,NO ESPECIFICADO
COLIMA,3/1/2010
COLIMA,7/21/2010
NO ESPECIFICADO,6/10/1997
COLIMA,10/13/2010
COLIMA,1/1/2010
COLIMA,1/5/2011
COLIMA,1/12/2011
COLIMA,10/3/2011
COLIMA,4/12/2011
COLIMA,9/15/2011
COLIMA,9/28/2011
COLIMA,11/5/2011
MORELOS,4/1/2009
MORELOS,NO ESPECIFICADO
HIDALGO,10/16/2010
HIDALGO,9/29/2009
HIDALGO,12/22/2010
HIDALGO,4/19/2010
HIDALGO,5/8/2010
HIDALGO,5/8/2010
HIDALGO,10/22/2010
HIDALGO,NO ESPECIFICADO
HIDALGO,9/9/2010
HIDALGO,9/8/2010
HIDALGO,3/8/2010
VERACRUZ,NO ESPECIFICADO
HIDALGO,1/7/2010
HIDALGO,11/16/2010
HIDALGO,10/4/2010
HIDALGO,1/22/2010
HIDALGO,8/6/2011
HIDALGO,1/20/2011
HIDALGO,6/9/2010
HIDALGO,1/10/2011
HIDALGO,7/27/2011
HIDALGO,3/8/2011
DURANGO,2/5/2011
HIDALGO,NO ESPECIFICADO
HIDALGO,2/10/2011
HIDALGO,2/10/2011
SINALOA,NO ESPECIFICADO
HIDALGO,4/20/2011
HIDALGO,8/17/2011
HIDALGO,5/19/2011
HIDALGO,4/19/2011
HIDALGO,4/12/2011
HIDALGO,1/2/2011
HIDALGO,1/23/2009
HIDALGO,3/19/2009
HIDALGO,10/20/2009
HIDALGO,10/20/2009
HIDALGO,10/15/2009
HIDALGO,10/15/2009
HIDALGO,10/15/2009
HIDALGO,11/18/2009
HIDALGO,10/26/2009
HIDALGO,6/29/2009
HIDALGO,3/25/2009
HIDALGO,4/9/2009
HIDALGO,11/9/2007
HIDALGO,9/1/2011
HIDALGO,9/23/2011
HIDALGO,9/23/2011
HIDALGO,9/14/2010
HIDALGO,4/19/2010
HIDALGO,NO ESPECIFICADO
HIDALGO,6/8/2011
HIDALGO,4/1/2011
HIDALGO,4/2/2011
HIDALGO,4/1/2011
HIDALGO,5/26/2011
HIDALGO,8/8/2011
HIDALGO,8/9/2011
HIDALGO,2/7/2011
HIDALGO,4/17/2011
HIDALGO,4/1/2011
HIDALGO,NO ESPECIFICADO
HIDALGO,NO ESPECIFICADO
HIDALGO,11/8/2011
HIDALGO,5/3/2008
HIDALGO,5/13/2008
HIDALGO,7/27/2008
HIDALGO,7/29/2008
HIDALGO,11/1/2008
HIDALGO,7/25/2008
HIDALGO,12/25/2008
HIDALGO,10/30/2007
HIDALGO,NO ESPECIFICADO
HIDALGO,5/15/2008
HIDALGO,5/20/2008
HIDALGO,11/10/2011
HIDALGO,12/2/2006
HIDALGO,4/1/2004
NO ESPECIFICADO,5/28/2012
SINALOA,NO ESPECIFICADO
HIDALGO,3/5/2007
HIDALGO,1/1/2007
HIDALGO,1/29/2007
HIDALGO,NO ESPECIFICADO
HIDALGO,5/15/2007
HIDALGO,6/24/2005
HIDALGO,6/19/2007
NO ESPECIFICADO,3/30/2007
HIDALGO,NO ESPECIFICADO
HIDALGO,11/7/2007
HIDALGO,2/13/2007
HIDALGO,9/30/2006
HIDALGO,6/19/2007
HIDALGO,12/30/2011
HIDALGO,1/11/2012
HIDALGO,NO ESPECIFICADO
HIDALGO,1/28/2012
HIDALGO,1/30/2012
HIDALGO,2/9/2012
HIDALGO,2/9/2012
HIDALGO,2/14/2012
HIDALGO,2/22/2012
HIDALGO,2/24/2012
HIDALGO,2/22/2012
HIDALGO,2/22/2012
HIDALGO,1/28/2012
HIDALGO,3/20/2012
HIDALGO,3/26/2012
HIDALGO,1/17/2012
HIDALGO,3/20/2012
QUERETARO,5/12/2010
QUERETARO,7/15/2010
QUERETARO,8/3/2010
QUERETARO,5/29/2010
QUERETARO,5/29/2010
QUERETARO,5/29/2010
QUERETARO,6/16/2010
QUERETARO,12/15/2009
QUERETARO,5/29/2010
QUERETARO,1/3/2011
QUERETARO,5/23/2011
GUANAJUATO,4/12/2011
QUERETARO,9/8/2009
QUERETARO,11/5/2007
CHIHUAHUA,3/14/2011
CHIHUAHUA,5/30/2008
CHIHUAHUA,6/1/2011
CHIHUAHUA,4/26/2007
CHIHUAHUA,11/18/2010
CHIHUAHUA,11/18/2010
CHIHUAHUA,3/21/2011
CHIHUAHUA,3/21/2011
CHIHUAHUA,3/23/2011
CHIHUAHUA,5/13/2011
CHIHUAHUA,5/13/2011
CHIHUAHUA,5/16/2011
CHIHUAHUA,8/24/2010
CHIHUAHUA,6/6/2011
CHIHUAHUA,6/16/2011
CHIHUAHUA,7/7/2011
CHIHUAHUA,6/13/2011
