CODE,NAME,POBLA
MX01,Aguascalientes,1312544
MX02,Baja California,3315766
MX03,Baja California Sur,712029
MX04,Campeche,899931
MX05,Chiapas,5217908
MX06,Chihuahua,3556574
MX07,Coahuila,2954915
MX08,Colima,711235
MX09,Ciudad de Mexico,8918653
MX10,Durango,1754754
MX11,Guanajuato,5853677
MX12,Guerrero,3533251
MX13,Hidalgo,2858359
MX14,Jalisco,7844830
MX15,México,16187608
MX16,Michoacán,4584471
MX17,Morelos,1903811
MX18,Nayarit,1181050
MX19,Nuevo León,5119504
MX20,Oaxaca,3967889
MX21,Puebla,6168863
MX22,Querétaro,2038372
MX23,Quintana Roo,1501562
MX24,San Luis Potosí,2717820
MX25,Sinaloa,2966321
MX26,Sonora,2850330
MX27,Tabasco,2395272
MX28,Tamaulipas,3441698
MX29,Tlaxcala,1272847
MX30,Veracruz,8112505
MX31,Yucatán,2097175
MX32,Zacatecas,1579209
